dateid,monthname,date,Yearid,monthid
1,May,May-20,2020,5
2,June,Jun-20,2020,6
3,July,Jul-20,2020,7
4,August,Aug-20,2020,8
5,September,Sep-20,2020,9
6,October,Oct-20,2020,10
7,November,Nov-20,2020,11
8,December,Dec-20,2020,12
9,January,Jan-21,2021,1
10,February,Feb-21,2021,2
11,March,Mar-21,2021,3
12,April,Apr-21,2021,4
13,May,May-21,2021,5
14,June,Jun-21,2021,6
15,July,Jul-21,2021,7
16,August,Aug-21,2021,8
17,September,Sep-21,2021,9
18,October,Oct-21,2021,10
19,November,Nov-21,2021,11
20,December,Dec-21,2021,12
21,January,Jan-22,2022,1
22,February,Feb-22,2022,2
23,March,Mar-22,2022,3
24,April,Apr-22,2022,4
25,May,May-22,2022,5
26,June,Jun-22,2022,6
27,July,Jul-22,2022,7
28,August,Aug-22,2022,8
29,September,Sep-22,2022,9
30,October,Oct-22,2022,10
31,November,Nov-22,2022,11
32,December,Dec-22,2022,12
